AllowedStartingMaterialId,Type,ConceptId,Description,Manufacturer,Brand,Strength,Size,ApprovedStatus,ActionOnReceipt,Dose,Location,FirstChoiceForPicking
4CF78FEA-99B6-4740-8EF3-036DFAB7FC05,0,67735003,NULL,Actavis,NULL,6 mg/mL,16.7 mL,0,Straight to Stock,100 mg,AK-B02,0
C9464931-1F7F-4A84-8764-0376BEB4D890,0,68395000,NULL,Torbay & South Devon NHS Foundation Trust,NULL,14.70%,500 mL,0,Quarantine - Check codes (Quarantine - Report to QA/QC),N/A,,0
D3B82D60-917B-4FB5-B0D0-038E92A31248,0,346628003,NULL,Hospira or Mayne,NULL,N/A,N/A,0,Quarantine - Check codes (Straight to Stock),2250 mg,,0
82C85A1E-0C39-46B9-A52C-0422956DF9F9,0,108759002,NULL,TEVA,NULL,10 mg/mL,45 mL,0,Quarantine - Check codes (Straight to Stock),450 mg,,0
9631E818-86F1-44EC-B79B-04AA5914E351,0,3822002,NULL,Aspen Pharma Trading Limited,NULL,50 mg/mL,2 mL,1,Straight to Stock,100 mg,BL-A02,0
45CDBF08-7183-478C-B206-04FFCC42C4E2,2,NULL,Warm red block with 1 black line (STD),Label Needs,NULL,NULL,NULL,1,Quarantine - Check codes (Quarantine - Report to QA/QC),NULL,,0
9D9FF929-80EA-4ED4-9112-051C562CCA94,1,829ad96a-a329-4eb5-a257-c1e57ef02be9,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,,0
661B57F2-0AF7-4A29-A542-052D58DB686F,0,108984007,NULL,Sanofi,NULL,100 mg/mL,3 mL,0,Quarantine - Check codes (Quarantine - Report to QA/QC),300 mg,,0
B3668E32-9441-40DF-9863-05375DB1D0A5,0,108811008,NULL,Eli Lilly,NULL,N/A,N/A,0,Quarantine - Check codes (Straight to Stock),200 mg,,0
9F92BF40-CA14-4437-9C82-05D7AAE47850,0,349851002,NULL,GENUS,NULL,N/A,N/A,1,Straight to Stock," 5mg",,0
45E4B3BC-CCD7-4630-B516-0607F1663A2D,1,b9199a41-9a45-4181-a4e9-9b095e155408,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,,0
67238176-61DE-4F50-B636-067349D89F76,0,354049008,NULL,Gilead Sciences Ltd,NULL,N/A,N/A,1,Straight to Stock,50 mg,AF-A06,0
E546496C-DDCB-48AD-8962-067383792DB1,0,67735003,NULL,Fresenius Kabi,NULL,10mg/mL,60 mL,0,Quarantine - Check codes (Straight to Stock),600mg,,0
C5728D02-364E-463B-8202-06EF6CC89EC6,0,62782004,NULL,St Mary’s Pharmaceutical Unit,NULL,2 mg/mL,10 mL,1,Quarantine - Report to QA/QC,20 mg,AG-C08,0
17A199A9-35A3-40E5-89CF-07DA9C6A3285,0,89265009,NULL,Pfizer,NULL,20 mg/mL,25 mL,1,Quarantine - Check codes (Straight to Stock),500 mg,,0
54C37F2C-6B34-4DA1-B4F3-07FBBFFC27D3,1,3baca344-db42-4f92-9d6a-e97dc9b53e9f,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,,0
3D97688B-E468-4497-A158-0815F16ED940,0,108806006,NULL,Fresenius Kabi,NULL,20 mg/mL,1 mL,1,Straight to Stock,20 mg,,0
BCE832C1-87F9-42B3-B7D1-08FA95398DF4,1,a1ca707d-86f8-4bbc-bf13-65b4683dff60,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,,0
D7777AF7-D9CF-44F6-B0AF-09051D2342A9,0,26800000,NULL,Hameln,NULL,5 mg/mL,2 mL,1,Quarantine - Check codes (Straight to Stock),10 mg,,0
339EFB8E-9E74-4DBF-8D17-090834AB6C68,1,bfadda1a-2aad-48f8-8988-892715b92710,NULL,NULL,NULL,NULL,NULL,1,Straight to Stock,NULL,AB-A04,0
7C0697B4-6BB0-4FD0-8D4B-0953EDCC05FB,1,45428410-14cd-4ea4-b28b-019b3232051e,NULL,NULL,NULL,NULL,NULL,0,Quarantine - Check codes (Straight to Stock),NULL,,0
4B08C4A4-F709-450F-B4C6-096190545CE2,0,407732005,NULL,Mylan (Generics UK Limited),NULL,N/A,N/A,1,Straight to Stock,50 mg,BJ-B04,0
3F15AAB1-C5EC-4464-9362-0976BA63C69F,0,60881009,NULL,Wockhardt,NULL,N/A,N/A,1,Quarantine - Check codes (Straight to Stock),30 mg,,0
BEBA5BAB-5781-43A4-A1DA-097A50A0566F,0,57752001,NULL,Hospira (Pfizer) or Mayne,NULL,40mg/mL,2 mL,1,Quarantine - Check codes (Straight to Stock),80mg,,0
1048D6D2-7620-49DE-BB23-09B99B59943D,1,3db5a23f-6aef-4a33-8d95-c72ad0dc5595,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,,0
A938FD3B-7507-4041-8E38-0A1985367A8C,0,108759002,NULL,Fresenius Kabi,NULL,20 mg/mL,25 mL,0,Quarantine - Check codes (Straight to Stock),500 mg,,0
03B9D25A-4B5D-4E33-BED1-0A328C71446B,2,NULL,Contec Sterile Prochlor (Trigger spray),Contec,NULL,NULL,NULL,1,Quarantine - Report to QA/QC,NULL,,0
4EB3F171-6955-4741-B0AE-0A506C0318B9,1,7f01a98b-6df6-4811-a73b-7f99f3c2f325,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,,0
E8B202B2-1C45-451D-BBB2-0A8C25D06DE3,0,45311002,NULL,St Mary’s Pharmaceutical Unit,NULL,0.5 mg/mL,500 mL,1,Quarantine - Report to QA/QC,250 mg,,0
41F39E51-FE23-44F6-80ED-0A94C3854885,0,346628003,NULL,Wockhardt,NULL,N/A,N/A,0,Quarantine - Check codes (Straight to Stock),4500 mg,,0
54711508-9ECC-4B4E-A170-0A9DE1ED132A,0,349848009,NULL,Actavis,NULL,2 mg/mL,25 mL,0,Quarantine - Check codes (Straight to Stock),50 mg,,0
AE309852-757B-40C0-ADE2-0AB478ED16C3,0,108811008,NULL,Accord,NULL,100 mg/mL,2 mL,1,Quarantine - Check codes (Straight to Stock),200 mg,,0
3CF7FC11-614C-44B5-B676-0AD96A8D0801,0,65502005,NULL,Torbay & South Devon NHS Foundation Trust,NULL,100 mcg/mL,1 mL,0,Quarantine - Check codes (Quarantine - Report to QA/QC),100 mcg,,0
C50DCC58-8B6F-4295-A008-0B30C4FA8557,0,417601005,NULL,Sanofi,NULL,1 mg/mL,20 mL,0,Straight to Stock,20 mg,AJ-A02,0
2ED8943D-5DC8-48A5-BD72-0B7DB05C8BF1,0,1528001,NULL,Pfizer,NULL,3 mg/mL,10 mL,0,Quarantine - Check codes (Straight to Stock),30 mg,,0
55F0B4BB-EDCE-46A1-908D-0B97043F6A6D,0,37400007,NULL,Torbay & South Devon NHS Foundation Trust,NULL,50%,10 mL,1,Quarantine - Check codes (Straight to Stock),N/A,AF-A07,0
953C304F-759B-455F-8710-0BC26B7251A2,0,349848009,NULL,Pharmacia,NULL,2 mg/mL,25 mL,0,Quarantine - Check codes (Straight to Stock),50 mg,,0
F1144C90-0827-46BE-8D13-0BFCD0F5EBD2,0,16698611000001100,NULL,Pierre Fabre,NULL,25 mg/mL,2 mL,1,Straight to Stock,50 mg,,0
45639E6D-5525-4FF5-831C-0C2285CAD6F6,1,9adadd49-a3fa-423c-b5e4-219a67a1694e,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,AL-C01,0
FD6BAFAA-C7CD-4722-A6D7-0C240BA7490D,0,108811008,NULL,Fresenius Kabi,NULL,38 mg/mL,52.6 mL,1,Straight to Stock,2000 mg,AC-C01,0
DC75469F-496E-42B0-93EA-0C49ABF361CF,0,108783005,NULL,Accord,NULL,20 mg/mL,15 mL,1,Straight to Stock,300 mg,AH-B04,0
9E3D313E-AD3F-46A3-87F6-0C8EEF8A24DB,1,200ff2b5-8dd3-479c-8122-fa7d4693a5f2,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,AF-B08,0
811D20A0-B89A-4879-B7DC-0D3C6888759A,0,423028002,NULL,Merck - Pfizer,NULL,20 mg/mL,10 mL,1,Straight to Stock,200 mg,,0
490C73D2-E53C-43B0-B317-0DF9F2874494,0,56928006,NULL,CHEPLAPHARM Arzneimittel GmbH,NULL,N/A,N/A,1,Straight to Stock,100 mg,BL-D03,0
44F7C9E6-3A6C-425D-B8CF-0E00D79D4BAF,0,108811008,NULL,Accord,NULL,100 mg/mL,10 mL,1,Straight to Stock,1000 mg,AC-B04,0
6D10E280-EB11-4949-85DC-0E96D9C1EB05,1,63aa51ae-0dce-400b-ac2d-606b6546373a,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,AB-B02,0
9538711A-C506-4084-80CD-0EB8B745BA3A,0,327032007,NULL,TEVA,NULL,5mg/mL,20 mL,0,Quarantine - Check codes (Straight to Stock)," 100mg",,0
8327967D-43CE-42FA-97BD-0EE4821617D4,2,NULL,Grey and yellow blocks with 1 black line labels (bag) 70mmx90mm,Label Needs,NULL,NULL,NULL,1,Quarantine - Check codes (Quarantine - Report to QA/QC),NULL,,0
8E323EE0-D6EE-40F2-87B5-0F615191B465,0,349848009,NULL,Medac,NULL,2 mg/mL,100 mL,1,Straight to Stock,200 mg,BN-B02,0
8F1CEC6E-B1B2-407A-BAA5-0F83271082FD,0,60881009,NULL,Teva,NULL,N/A,N/A,0,Quarantine - Check codes (Straight to Stock),500 mg,,0
87488F5A-18A6-482D-AC83-0FA9AFE3BC50,0,108783005,NULL,Accord,NULL,20 mg/mL,25 mL,1,Quarantine - Check codes (Straight to Stock),500 mg,,0
BDE82476-36B7-48F7-80FF-100FBFFB37B1,1,f43264a7-46ae-44d0-945a-ebd9691a0f91,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Quarantine - Report to QA/QC),NULL,,0
8C5CA7B0-BEF2-42BD-BFA3-10213C819D18,0,1222003,NULL,Hameln,NULL,10 mg/mL,1 mL,0,Quarantine - Check codes (Quarantine - Report to QA/QC),10 mg,,0
D7AA972D-6A8B-44DB-941C-104769F02FB6,1,36620803-c35a-42f3-a82f-ecee91b60fb5,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,,0
073CF19D-BB7A-40E8-93DB-109ADF6DABA2,1,7960120c-6988-4756-8925-6f6970d212a6,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,,0
F2A03780-0A4E-473E-8B88-109C72DA09FA,1,d8e93b58-6366-48e1-ba82-636ccfa9b6a9,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,,0
FB3C21F0-93D6-46C7-95F3-10A2EAC67223,0,67735003,NULL,Actavis,NULL,6 mg/mL,25mL,0,Quarantine - Check codes (Straight to Stock),150 mg,,0
618DF581-6143-48F1-B533-10ADE67C5FEA,0,411089001,NULL,Accord,NULL,25mg/ml,34ml,1,Quarantine - Check codes (Quarantine - Report to QA/QC),850mg,,0
48BB382B-F3DF-4093-8361-11C800807FE7,1,88a502ec-5730-48bb-bde9-05bb67c81112,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,,0
100A8C07-EDAB-4C91-A53B-124C499A4EE8,1,ea667c69-24a5-41c7-8c58-81d3bd2cc221,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,AA-B04,0
189E9763-E215-4CC1-97E8-125DE48269C1,0,42082003,NULL,Alpharma,NULL,N/A,N/A,0,Quarantine - Check codes (Straight to Stock),1000 mg,,0
980ACE7A-F29D-4B27-BC3E-1296919C13DA,0,108811008,NULL,Accord,NULL,100 mg/mL,15 mL,1,Quarantine - Check codes (Straight to Stock),1500 mg,,0
32DF7D37-6FF8-466D-B613-12BF2A0BCADE,1,b39e5b8f-2061-41d6-a3f5-856c31683ba5,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,AL-B04,0
2D3557DF-E95D-43F6-B84E-13A84A0FCADC,0,17066911000001103,NULL,Mandeville Medicines,NULL,"0.1%, 2 mcg/mL",480 mL,0,Quarantine - Check codes (Quarantine - Report to QA/QC),N/A,,0
CC4FE7B5-A324-41DA-A8D4-13FA2EC15F77,0,70702006,NULL,Hospira (Pfizer),NULL,N/A,N/A,1,Straight to Stock,2000 mg,AF-C02,0
381DC62B-566D-4D8A-BB65-1408F98237F2,1,c451d4d2-529d-4b69-a589-ddb8d4f00171,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,,0
42A384A9-6FA2-46EA-9AAC-146EF07BE950,0,108792008,NULL,Actavis,NULL,10 mg/mL,1 mL,1,Straight to Stock,10 mg,,0
67D41DD0-748D-4189-8AAA-148432952B96,1,1cdf9e12-39f3-4f82-9012-1e6c98b7c4b0,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,AK-A07,0
934A8DF0-D80B-407E-A13B-14A511503C1D,0,109094008,NULL,Fresenius Kabi,NULL,2 mg/mL,200 mL,0,Quarantine - Check codes (Straight to Stock),400 mg,,0
D997EDF0-851A-444F-8D59-14DC152AB770,0,327032007,NULL,Qilu Pharma,NULL,5 mg/mL,10 mL,1,Quarantine - Check codes (Straight to Stock),50 mg,,0
7F6D7C15-8D63-47B3-9E07-14FC7F64934B,2,NULL,EZ CFU Apergillus brasiliensis ATCC 16404,Microbiologics,NULL,NULL,NULL,1,Quarantine - Report to QA/QC,NULL,,0
43D969BE-400E-470B-BB73-1514C599DCD4,0,109131004,NULL,Roche,NULL,N/A,N/A,1,Quarantine - Check codes (Straight to Stock),500 mg,,0
F0C91286-F291-40C0-BEF9-154EFB3B1DF4,0,26800000,NULL,Hameln,NULL,1 mg/mL,10 mL,1,Quarantine - Check codes (Straight to Stock),10 mg,,0
716253B8-9498-40E0-A42A-15D8A44ABEB3,1,d6efe7fb-d47e-425a-9cdc-88bd5a23ce01,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,,0
DE95C68A-8AFB-46AD-97E4-1693EDF58F3F,1,b45e07c6-0c30-4e03-911d-61c56932d1b9,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,,0
C0A74BA2-2A27-4C9F-BB18-16B698F90A95,1,5456b554-7895-4397-be22-85051be1df8d,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,,0
B49579B3-D658-4E01-9DE5-16C993528C57,2,NULL,PCM wrist watch,BAXTER,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,,0
CAD3176F-CA66-4366-A962-16D0BD68A7E2,0,76591000,NULL,Accord,NULL,N/A,N/A,1,Straight to Stock,15000 IU,,0
8B0CBC9B-2D57-4E5D-AB27-16F729217F16,2,NULL,Violet block with black border and 1 black line (BAG)  100mm x 90xx,Label needs,NULL,NULL,NULL,1,Quarantine - Check codes (Quarantine - Report to QA/QC),NULL,,0
7664485C-377C-4E4F-B799-17000A0823C9,0,85343005,NULL,Sandoz,NULL,10 mg/mL,50 mL,1,Straight to Stock,500mg,BE-D02,0
BFD6BFB6-1741-4589-AA92-17ACE872944D,0,444609007,NULL,Novartis,NULL,20mg/mL,5 mL,0,Straight to Stock,100mg,BB-A03,0
F3B030A6-7328-44AE-8D9C-17E32D1465A3,0,23079006,NULL,Hospira,NULL,1 mg/mL,5 mL,1,Straight to Stock,5 mg,,0
1BF0807A-C656-406D-AFD2-1816D37CC893,0,57066004,NULL,TEVA,NULL,1 mg/mL,100 mL,1,Straight to Stock,100 mg,AH-D04,0
F18DD804-959F-4D46-B20A-182B9121D94D,0,67735003,NULL,Hospira (Pfizer),NULL,6 mg/mL,50 mL,1,Straight to Stock,300 mg,AH-A08,0
1D1E8F87-86B7-4E5A-8E07-185388B15C40,0,108783005,NULL,SANDOZ,NULL,20mg/mL,25 mL,0,Quarantine - Check codes (Straight to Stock),500mg,,0
D585FFA6-0E38-4E29-B709-185F2823915C,2,NULL,Salmon block with 1 black line (STD),Label Needs,NULL,NULL,NULL,1,Quarantine - Check codes (Quarantine - Report to QA/QC),NULL,,0
08111E71-BC2D-4B34-B49E-1877559730C9,0,108759002,NULL,Hospira (Pfizer),NULL,10 mg/mL,45 mL,1,Quarantine - Check codes (Straight to Stock),450 mg,,0
7365CA7D-8504-46BF-87D4-18895DCC632B,2,NULL,Green block with 1 black line (BAG),Label Needs,NULL,NULL,NULL,1,Quarantine - Check codes (Quarantine - Report to QA/QC),NULL,,0
4C1BD24F-ABF8-40A0-8B5D-193AFED84D89,0,67735003,NULL,Accord,NULL,6 mg/mL,100 mL,1,Quarantine - Check codes (Straight to Stock),600 mg,,0
DF1F8147-238F-4696-B743-198502958A01,0,42082003,NULL,Wockhardt,NULL,N/A,N/A,1,Straight to Stock,1000 mg,AF-D03,0
D11CFF3F-0A9B-4FD8-BF7C-19938805C847,1,3cb9a154-4d77-4006-ae4d-b9fca0302800,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,AA-B05,0
0931D6E5-87F3-4A40-B97D-19CDA9BC30D7,0,7577004,NULL,Hospira or Mayne,NULL,2 mg/mL,100 mL,0,Quarantine - Check codes (Straight to Stock),200 mg,,0
B0BDA11C-D23B-4C84-9DE4-1AD4AC59F5CE,0,1222005,NULL,Hameln,NULL,50mcg/mL,2ml,1,Quarantine - Check codes (Straight to Stock),100 mcg,,0
6A08647F-4E54-4DCD-903D-1B3BDA6527B6,0,108806006,NULL,Fresenius Kabi,NULL,20 mg/mL,4 mL,1,Straight to Stock,80 mg,,0
726B749F-E048-4556-853C-1B5071294E47,1,d4ec18b5-72cb-481d-aa18-97318e8c375e,NULL,NULL,NULL,NULL,NULL,1,Straight to Stock,NULL,,0
9F4F1C79-F6DB-4C76-9DAC-1B5B06AF56D3,0,108759002,NULL,Sun Pharma,NULL,10 mg/mL,45 mL,0,Quarantine - Check codes (Straight to Stock),450 mg,,0
648062A1-2AA7-41B7-93B4-1C3986C15D53,2,NULL,Surety Syringe Cap,Intervene,NULL,NULL,NULL,0,Quarantine - Check codes (Straight to Stock),NULL,,0
E2A24FD4-3DF6-40B0-B019-1C3CE07E9F2C,0,74470007,NULL,Baxter Healthcare Ltd,NULL,N/A,N/A,1,Straight to Stock,1000 mg,AC-A06,0
DDA5EDA8-61AC-4676-83EC-1C62DB510AFF,1,e52bf754-d0b4-4b27-87dc-2828d4043cff,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,,0
ACD77627-4832-4AD9-B20D-1CDC5947AF0B,0,108688007,NULL,Gilead,NULL,75 mg/mL,5 mL,0,Quarantine - Check codes (Straight to Stock),375 mg,,0
566E8DB0-0012-43A2-B166-1D3475345627,0,420155008,NULL,Torbay & South Devon NHS Foundation Trust,NULL,15%,500 mL,0,Quarantine - Check codes (Quarantine - Report to QA/QC),N/A,,0
97972AB9-8079-4D61-90FA-1D3A2C63DE39,2,NULL,Blue and yellow blocks with 1 black line label (bags) 70mmx90mm,Label needs,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,,0
440B3DAD-3876-443D-A16B-1D7EAA7D0458,0,22168005,NULL,GOLDSHIELD/ANTIGEN,NULL,0.2mg/mL,1 mL,0,Quarantine - Check codes (Straight to Stock),0.2mg,,0
1CEB8AA6-DABA-4C6D-B29F-1DBB779D0771,0,108821000,NULL,Baxter,NULL,100 mg/mL,10 mL,1,Straight to Stock,1000 mg,AG-B06,0
93441E8F-DD13-452F-8DA1-1DD40EB55F4A,0,12369008,NULL,Wockhardt,NULL,10 IU/mL,1 mL,1,Straight to Stock,10 IU,BK-D01,0
83EB2B0F-C94B-4946-99E9-1EBFC16EA554,2,NULL,Primene  250ml bottle,BAXTER,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,,0
0D7E5B4A-FD44-4B9C-86E9-1EC8A5CF78BB,0,3127006,NULL,Accord,NULL,50 mg/mL,5 mL,1,Quarantine - Check codes (Straight to Stock),250 mg,,0
E8F42AA2-9C6A-41F3-8183-1FF4A2704FF4,1,884ee3fc-214e-4f01-95e6-df898a567d7b,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,AB-B03,0
C869F24A-E1AC-4EAF-97DE-2054F073A797,0,418792004,NULL,Janssen-Cilag/Baxter,NULL,2 mg/mL,25 mL,1,Straight to Stock,50 mg,BK-A01,0
7DAF458D-9C1C-450F-AA26-20CD58E341D5,1,ea667c69-24a5-41c7-8c58-81d3bd2cc221,NULL,NULL,NULL,NULL,NULL,0,Quarantine - Check codes (Straight to Stock),NULL,,0
7A684C0F-E991-42F7-9374-20F7F463457D,0,1222003,NULL,St Mary’s Pharmaceutical Unit,NULL,50 mg/mL,1 mL,1,Quarantine - Check codes (Quarantine - Report to QA/QC),50 mg,,0
32E85624-1AA6-4324-93F7-216B853B5F95,0,3127006,NULL,Ebewe,NULL,50 mg/mL,100 mL,0,Quarantine - Check codes (Straight to Stock),5000 mg,,0
2468545A-11DD-4FA6-9B72-217C02A1A5A9,0,73986003,NULL,Flynn Pharma,NULL,N/A,N/A,0,Quarantine - Check codes (Straight to Stock),1500 mg,AF-B05,0
C0F4AE8D-0ECD-4543-A9D1-21B057750F3A,1,bc6a99b6-be74-417c-8b8b-ec31658f0cf4,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,AL-B05,0
84B64C18-DB3B-49CF-8977-21FAECD66F3E,0,73074006,NULL,TEVA,NULL,N/A,N/A,1,Quarantine - Check codes (Straight to Stock),100mg,,0
CAEF985C-2FAD-45AB-86CA-22423C943C1A,1,2aa1047d-6e9a-499a-a8fa-ec16da8e2498,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,AD-A02,0
5626C482-B678-472B-BD48-2264B34B3CF9,0,108763009,NULL,Actavis,NULL,25 mg/mL,2 mL,0,Quarantine - Check codes (Straight to Stock),50 mg,,0
27E9A486-3548-4824-8191-226E8213B4C5,0,73986003,NULL,GlaxoSmithKline,NULL,N/A,N/A,1,Straight to Stock,250 mg,AG-B03,0
35AF86F2-A8FC-4FA6-8A7D-22B8B6AFDDD4,0,68444001,NULL,Medac,NULL,2 mg/mL,5 mL,1,Quarantine - Check codes (Straight to Stock),10 mg,,0
53530019-7E0C-458C-B221-22BC202B7BAD,0,27196008,NULL,Mercury Pharma,NULL,0.5%,20 mL,1,Quarantine - Check codes (Straight to Stock),N/A,,0
92159FB7-372B-4E99-B2F7-236D8D655DBC,0,327397007,NULL,Napp Pharmaceuticals (Celltrion),NULL,N/A,N/A,1,Straight to Stock,150 mg,,0
AD0E1563-1F08-4058-BDF6-2399CF4FF354,0,17066911000001103,NULL,Ivex (FK),NULL,"0.1%, 2 mcg/mL",500 mL,1,Quarantine - Check codes (Quarantine - Report to QA/QC),N/A,,0
749A41EB-AB40-438B-ADD2-23B52FAD8581,0,6102009,NULL,Countess of Chester,NULL,3000 mcg/mL,5 mL,0,Quarantine - Check codes (Straight to Stock),15000 mcg,,0
E8269686-3CFE-40E7-A0C3-23B9C1301432,1,6ea4e6f3-c30b-4804-9755-8fb8dc3f6dac,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,,0
27BDC7B9-33CF-4774-8D46-23DDB219EF44,2,NULL,EZ CFU Candida albicans ATCC 10231,Microbiologics,NULL,NULL,NULL,1,Quarantine - Report to QA/QC,NULL,,0
AEC700C5-8299-4436-AE8A-24E1FC5A7613,1,54a6bffe-f1e3-4244-87c4-34060a1ba17c,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,,0
CD0505CD-EDD2-48FA-B805-25604A68B788,0,108804009,NULL,Clinigen,NULL,N/A,N/A,1,Quarantine - Check codes (Straight to Stock),22 x 10^6 IU,,0
106AA72B-715B-45F6-AED3-25797E687CDA,0,74074008,NULL,Actavis,NULL,2 mg/mL,5 mL,0,Quarantine - Check codes (Straight to Stock),10 mg,,0
543B9ECB-A59C-48DA-B7FB-25A0929FEEB2,0,108806006,NULL,Actavis,NULL,20 mg/mL,1 mL,1,Quarantine - Check codes (Straight to Stock),20 mg,,0
82EB0423-6901-4A97-B9BF-25ECCBF06F8C,0,327032007,NULL,TEVA,NULL,5mg/mL,20 mL,0,Quarantine - Check codes (Straight to Stock),100mg,,0
